Name,Nation,Team,Position,Age,Matches Played,Starts,Min,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls90,Ast90,xG90,xAG90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short Cmp%,Med Cmp%,Long Cmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Aaron Cresswell,ENG,West Ham,DF,N/a,14.0,7.0,589.0,6.5,0.0,0.0,0.0,0.1,1.1,4.0,24.0,2.0,0.0,0.0,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.46,0.0,0.0,355.0,80.7,6769.0,173.0,177.0,82.0,-1.1,7.0,40.0,4.0,1.0,12.0,1.83,0.0,0.0,8.0,4.0,8.0,7.0,4.0,3.0,6.0,14.0,495.0,33.0,196.0,236.0,68.0,1.0,495.0,1.0,0.0,0.0,200.0,773.0,388.0,4.0,7.0,0.0,3.0,0.0,3.0,1.0,0.0,27.0,0.0,21.0,7.0,6.0
Aaron Ramsdale,ENG,Southampton,GK,N/a,26.0,26.0,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,67.5,4.0,7.0,N/a,0.0,0.0,N/a,691.0,64.4,19407.0,197.0,271.0,592.0,0.0,0.0,32.0,1.0,0.0,3.0,0.12,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1154.0,835.0,1132.0,25.0,0.0,0.0,1154.0,0.0,0.0,N/a,701.0,3573.0,2092.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,19.0,5.0,0.0
Aaron Wan-Bissaka,ENG,West Ham,DF,N/a,32.0,31.0,2794.0,31.0,2.0,2.0,4.0,1.2,2.9,98.0,125.0,139.0,0.06,0.06,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.48,0.16,0.13,1277.0,81.1,18273.0,902.0,489.0,97.0,-0.9,29.0,89.0,30.0,11.0,83.0,2.67,0.23,6.0,61.0,43.0,26.0,31.0,9.0,22.0,59.0,120.0,1960.0,136.0,620.0,838.0,531.0,40.0,1960.0,54.0,35.0,34.7,933.0,5937.0,3303.0,98.0,57.0,12.0,28.0,21.0,22.0,24.0,4.0,64.0,1.0,155.0,22.0,29.0
Abdoulaye Doucouré,MLI,Everton,MF,N/a,30.0,29.0,2425.0,26.9,3.0,1.0,4.0,3.9,2.3,40.0,78.0,91.0,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,1.08,0.33,0.1,676.0,79.6,10229.0,416.0,301.0,55.0,-1.3,26.0,44.0,14.0,0.0,54.0,2.0,0.07,1.0,45.0,27.0,39.0,30.0,6.0,24.0,9.0,54.0,1090.0,31.0,218.0,502.0,385.0,59.0,1090.0,23.0,20.0,46.5,571.0,2839.0,1339.0,40.0,24.0,8.0,33.0,35.0,46.0,5.0,10.0,23.0,0.0,139.0,29.0,43.0
Abdukodir Khusanov,UZB,Manchester City,DF,N/a,6.0,6.0,503.0,5.6,0.0,0.0,0.0,0.0,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.18,0.0,0.0,360.0,91.1,6126.0,169.0,197.0,23.0,-0.1,2.0,23.0,0.0,0.0,5.0,0.89,0.0,0.0,5.0,4.0,3.0,5.0,4.0,1.0,3.0,8.0,445.0,45.0,205.0,211.0,31.0,1.0,445.0,0.0,2.0,100.0,274.0,1155.0,435.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,27.0,6.0,4.0
Abdul Fatawu Issahaku,GHA,Leicester City,FW,N/a,11.0,6.0,579.0,6.4,0.0,2.0,2.0,0.4,1.6,42.0,17.0,60.0,0.0,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,2.02,0.78,0.0,123.0,62.4,2150.0,81.0,59.0,33.0,0.4,6.0,7.0,7.0,2.0,17.0,2.64,0.47,2.0,21.0,15.0,19.0,7.0,0.0,7.0,4.0,25.0,326.0,19.0,73.0,114.0,157.0,26.0,326.0,29.0,28.0,40.6,217.0,1869.0,1055.0,42.0,24.0,15.0,18.0,12.0,11.0,20.0,2.0,30.0,0.0,38.0,14.0,13.0
Adam Armstrong,ENG,Southampton,"FW,MF",N/a,20.0,15.0,1248.0,13.9,2.0,2.0,4.0,3.3,1.2,25.0,21.0,79.0,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,1.8,0.5,0.08,231.0,80.2,3320.0,158.0,95.0,13.0,0.8,9.0,10.0,8.0,2.0,19.0,1.37,0.29,1.0,12.0,3.0,14.0,6.0,1.0,5.0,3.0,15.0,377.0,11.0,44.0,143.0,192.0,49.0,376.0,6.0,8.0,57.1,235.0,1324.0,599.0,25.0,13.0,6.0,11.0,18.0,12.0,5.0,9.0,14.0,0.0,23.0,5.0,9.0
Adam Lallana,ENG,Southampton,MF,N/a,14.0,5.0,361.0,4.0,0.0,2.0,2.0,0.2,0.9,6.0,24.0,10.0,0.0,0.5,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.75,0.0,0.0,221.0,85.0,2891.0,165.0,67.0,9.0,1.1,4.0,21.0,9.0,3.0,9.0,2.24,0.5,2.0,8.0,5.0,12.0,4.0,1.0,3.0,5.0,13.0,318.0,19.0,91.0,155.0,73.0,6.0,318.0,5.0,5.0,41.7,178.0,831.0,366.0,6.0,8.0,0.0,10.0,6.0,8.0,8.0,0.0,4.0,0.0,19.0,2.0,2.0
Adam Smith,ENG,Bournemouth,DF,N/a,22.0,17.0,1409.0,15.7,0.0,0.0,0.0,0.7,0.3,12.0,40.0,31.0,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.19,0.0,0.0,436.0,75.7,7088.0,242.0,233.0,72.0,-0.3,7.0,41.0,8.0,5.0,20.0,1.28,0.13,1.0,21.0,10.0,25.0,12.0,5.0,7.0,14.0,35.0,707.0,39.0,217.0,332.0,162.0,6.0,707.0,6.0,6.0,40.0,305.0,1295.0,585.0,12.0,15.0,0.0,10.0,6.0,15.0,11.0,0.0,30.0,0.0,43.0,12.0,13.0
Adam Webster,ENG,Brighton,DF,N/a,11.0,8.0,617.0,6.9,0.0,0.0,0.0,0.0,0.5,7.0,40.0,2.0,0.0,0.0,0.0,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.15,0.0,429.0,85.6,7934.0,177.0,232.0,79.0,-0.5,3.0,32.0,2.0,0.0,10.0,1.46,0.44,2.0,8.0,5.0,11.0,12.0,9.0,3.0,14.0,22.0,569.0,84.0,279.0,271.0,22.0,8.0,569.0,1.0,2.0,66.7,326.0,1927.0,1142.0,7.0,2.0,0.0,3.0,1.0,5.0,2.0,1.0,1.0,0.0,20.0,17.0,4.0
Adam Wharton,ENG,Crystal Palace,MF,N/a,19.0,15.0,1258.0,14.0,0.0,2.0,2.0,0.3,3.0,14.0,105.0,10.0,0.0,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.86,0.36,0.0,521.0,75.6,9826.0,240.0,309.0,103.0,-1.0,25.0,73.0,18.0,5.0,56.0,4.01,0.43,4.0,34.0,14.0,43.0,10.0,2.0,8.0,18.0,52.0,827.0,27.0,196.0,439.0,198.0,10.0,827.0,2.0,8.0,80.0,413.0,1929.0,1021.0,14.0,22.0,2.0,14.0,13.0,12.0,21.0,0.0,35.0,0.0,96.0,7.0,16.0
Adama Traoré,ESP,Fulham,"FW,MF",N/a,32.0,16.0,1568.0,17.4,2.0,6.0,8.0,3.8,4.7,87.0,61.0,143.0,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,30.6,2.07,0.63,0.06,383.0,72.0,5972.0,261.0,177.0,47.0,1.3,37.0,32.0,32.0,17.0,73.0,4.19,0.52,8.0,17.0,12.0,13.0,7.0,0.0,7.0,1.0,18.0,725.0,4.0,74.0,258.0,415.0,86.0,725.0,44.0,33.0,37.5,483.0,4081.0,2232.0,87.0,42.0,33.0,32.0,19.0,20.0,29.0,1.0,90.0,0.0,78.0,24.0,25.0
Albert Grønbaek,DEN,Southampton,"FW,MF",N/a,4.0,2.0,143.0,1.6,0.0,0.0,0.0,0.1,0.0,1.0,1.0,3.0,0.0,0.0,0.07,0.01,N/a,N/a,N/a,N/a,0.0,1.26,0.0,0.0,13.0,72.2,135.0,11.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.26,0.0,0.0,4.0,1.0,10.0,1.0,1.0,0.0,0.0,4.0,38.0,2.0,9.0,14.0,15.0,2.0,38.0,0.0,4.0,100.0,18.0,79.0,15.0,1.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",N/a,33.0,22.0,2056.0,22.8,5.0,1.0,6.0,7.0,3.6,134.0,54.0,274.0,0.22,0.04,0.31,0.16,N/a,N/a,N/a,N/a,34.6,3.55,1.23,0.06,600.0,79.1,8376.0,426.0,199.0,47.0,-2.6,30.0,20.0,22.0,3.0,74.0,3.24,0.18,2.0,28.0,18.0,34.0,19.0,0.0,19.0,13.0,41.0,1078.0,13.0,120.0,340.0,636.0,164.0,1078.0,26.0,51.0,60.0,783.0,5951.0,3035.0,134.0,70.0,65.0,61.0,47.0,11.0,40.0,10.0,50.0,0.0,103.0,3.0,23.0
Alex Iwobi,NGA,Fulham,"FW,MF",N/a,34.0,32.0,2721.0,30.2,9.0,6.0,15.0,4.5,6.5,132.0,196.0,221.0,0.3,0.2,0.15,0.22,N/a,N/a,N/a,N/a,44.3,2.02,0.89,0.15,1037.0,74.4,17737.0,605.0,528.0,166.0,-0.5,53.0,106.0,77.0,16.0,112.0,3.7,0.53,13.0,37.0,21.0,28.0,25.0,1.0,24.0,11.0,48.0,1693.0,31.0,225.0,678.0,815.0,107.0,1693.0,42.0,39.0,45.3,1200.0,7290.0,4024.0,132.0,99.0,37.0,54.0,38.0,17.0,16.0,4.0,118.0,0.0,124.0,5.0,31.0
Alex McCarthy,ENG,Southampton,GK,N/a,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,70.3,0.0,2.0,N/a,0.0,0.0,N/a,117.0,75.0,2823.0,43.0,49.0,61.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,141.0,173.0,0.0,0.0,0.0,173.0,0.0,0.0,N/a,100.0,452.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0
